"hr" "ffInst" "radiacionGlobalInst" "td"
"2019-01-01" 0.846 14.8 1263.2 12.1
"2019-01-02" 0.851 13.4 1408 12.6
"2019-01-03" 0.864 14.6 1237.4 13
"2019-01-04" 0.87 14.9 1240.3 12.7
"2019-01-05" 0.796 14.7 1238.6 12.7
"2019-01-06" 0.705 15 1246.2 12.8
"2019-01-07" 0.746 13.4 1472.9 12.5
"2019-01-08" 0.851 14.6 1251 12.6
"2019-01-09" 0.825 15.5 1240 12.9
"2019-01-10" 0.813 14.8 1232.9 12.9
"2019-01-11" 0.914 14.9 1240.1 13.8
"2019-01-12" 0.885 16.3 1230.8 12.9
"2019-01-13" 0.887 16.6 1235.8 12.2
"2019-01-14" 0.838 16.1 1249.1 13.1
"2019-01-15" 0.891 15.7 1237.3 13
"2019-01-16" 0.804 14.9 1335.3 13.2
"2019-01-17" 0.816 15.2 1241.5 13.3
"2019-01-18" 0.862 16.7 1249.6 12.7
"2019-01-19" 0.802 12.9 1247.2 12.2
"2019-01-20" 0.945 13.5 1247.9 13
"2019-01-21" 0.879 15.6 1517.8 12.9
"2019-01-22" 0.834 16.8 1232.8 13.3
"2019-01-23" 0.827 13.7 1216.8 14.1
"2019-01-24" 0.839 15.2 1342.3 13.6
"2019-01-25" 0.876 15.1 1200.8 14
"2019-01-26" 0.901 13.9 1198.3 13.8
"2019-01-27" 0.86 15.6 1192.9 13.9
"2019-01-28" 0.828 15.2 1190.8 13.7
"2019-01-29" 0.791 15.1 1178.9 14.2
"2019-01-30" 0.711 15.4 1175.7 14.5
"2019-01-31" 0.725 15.9 1212.3 14.3
"2019-02-01" 0.861 18.2 1177.3 15.3
"2019-02-02" 0.859 15.9 1186 16
"2019-02-03" 0.872 14.8 1187 16
"2019-02-04" 0.865 14.6 1280.9 15.1
"2019-02-05" 0.862 15 1196 15.1
"2019-02-06" 0.836 14.7 1230.3 15.6
"2019-02-07" 0.771 16.3 1362.9 14.9
"2019-02-08" 0.775 14.3 1220.9 15
"2019-02-09" 0.9 16.5 1294.1 14.8
"2019-02-10" 0.89 15.4 1184.6 15.6
"2019-02-11" 0.889 14.7 1184.6 15
"2019-02-12" 0.892 15.3 1314.6 15.1
"2019-02-13" 0.872 13.8 1208.6 13.8
"2019-02-14" 0.841 15.7 1208.7 12
"2019-02-15" 0.864 14.6 1217.5 12.5
"2019-02-16" 0.741 15.9 1198.7 11.9
"2019-02-17" 0.84 16.2 1203.6 13.6
"2019-02-18" 0.851 13.5 1358.9 13.7
"2019-02-19" 0.91 15.4 1197.1 13.8
"2019-02-20" 0.868 14.7 1181.9 14.2
"2019-02-21" 0.733 13.9 1161.7 14
"2019-02-22" 0.897 16.8 1183 14.2
"2019-02-23" 0.885 15 1168.6 14.9
"2019-02-24" 0.788 13.8 1220.6 14.3
"2019-02-25" 0.798 13 1338 14.3
"2019-02-26" 0.904 12.5 1175 14.3
"2019-02-27" 0.824 14.2 1142.4 13.6
"2019-02-28" 0.925 13.8 1148.2 14
"2019-03-01" 0.881 14 1142 14.2
"2019-03-02" 0.843 13 1207.5 14.1
"2019-03-03" 0.863 14.9 1133.4 13.9
"2019-03-04" 0.817 13.3 1178.9 13.6
"2019-03-05" 0.918 13.4 1126.1 14
"2019-03-06" 0.881 17.3 1210.6 13.8
"2019-03-07" 0.858 13.4 1122.5 13.8
"2019-03-08" 0.858 14.6 1118.6 13.8
"2019-03-09" 0.816 13.6 1364.2 13.3
"2019-03-10" 0.851 14.2 1176.4 12.6
"2019-03-11" 0.814 13.8 1128.7 11.5
"2019-03-12" 0.891 12.7 1119 12.2
"2019-03-13" 0.914 14.3 1113.3 12.9
"2019-03-14" 0.82 13.7 1099 12.8
"2019-03-15" 0.85 13 1095.2 13.1
"2019-03-16" 0.905 12.4 1252.7 12.8
"2019-03-17" 0.897 13.3 1112 12.6
"2019-03-18" 0.944 14.9 1079.1 12.4
"2019-03-19" 0.859 14.3 1080.3 12.7
"2019-03-20" 0.94 14.7 1076 13
"2019-03-21" 0.892 15.1 1098.2 12.1
"2019-03-22" 0.937 13.5 1066.4 11.9
"2019-03-23" 0.934 13.1 1088.9 11.9
"2019-03-24" 0.937 12.2 1134.4 12.1
"2019-03-25" 0.91 13.5 1108.2 12.2
"2019-03-26" 0.879 12.5 1023.5 12.2
"2019-03-27" 0.901 11.7 1021.5 12.1
"2019-03-28" 0.876 12.7 1055.2 11.8
"2019-03-29" 0.902 11.8 1174 11.7
"2019-03-30" 0.865 12.5 1280.8 12.5
"2019-03-31" 0.869 12.6 1282.1 12.9
"2019-04-01" 0.885 14.9 1005.3 11.2
"2019-04-02" 0.761 12.3 993.7 11.1
"2019-04-03" 0.846 11.5 1131.9 12.2
"2019-04-04" 0.745 16.3 966.7 11.2
"2019-04-05" 0.765 13.2 962.1 11.6
"2019-04-06" 0.754 17.1 967.3 12.7
"2019-04-07" 0.961 12.5 1079.9 12.8
"2019-04-08" 0.935 13.4 961.7 12.2
"2019-04-09" 0.899 12.8 996.2 12
"2019-04-10" 0.911 13.3 961.1 11.3
"2019-04-11" 0.841 11.8 1271.7 11.5
"2019-04-12" 0.851 13 946.6 11
"2019-04-13" 0.875 12.2 958.9 10.4
"2019-04-14" 0.908 13.3 970.2 11.1
"2019-04-15" 0.931 13.9 946.3 11.5
"2019-04-16" 0.969 17.3 938 11.6
