"hr" "ffInst" "radiacionGlobalInst" "td"
"2019-01-01" 0.336 0 0 10.4
"2019-01-02" 0.351 0 0 11.4
"2019-01-03" 0.387 0 0 11.9
"2019-01-04" 0.34 0 0 11
"2019-01-05" 0.337 0 0 10.6
"2019-01-06" 0.371 0 0 10.9
"2019-01-07" 0.42 0 0 9.5
"2019-01-08" 0.322 0 0 9.2
"2019-01-09" 0.417 0 0 11.6
"2019-01-10" 0.415 0 0 11.3
"2019-01-11" 0.364 0 0 11.1
"2019-01-12" 0.331 0 0 10.3
"2019-01-13" 0.333 0 0 9.9
"2019-01-14" 0.287 0 0 7.9
"2019-01-15" 0.387 0 0 11.1
"2019-01-16" 0.419 0 0 12
"2019-01-17" 0.389 0 0 12.1
"2019-01-18" 0.432 0 0 11.7
"2019-01-19" 0.324 0 0 9.7
"2019-01-20" 0.376 0 0 10.5
"2019-01-21" 0.412 0 0 11.7
"2019-01-22" 0.422 0 0 11.8
"2019-01-23" 0.355 0 0 12.6
"2019-01-24" 0.276 0 0 9.5
"2019-01-25" 0.344 0 0 11.3
"2019-01-26" 0.425 0 0 11.9
"2019-01-27" 0.374 0 0 12.5
"2019-01-28" 0.391 0.2 0 12.6
"2019-01-29" 0.378 0 0 12.5
"2019-01-30" 0.385 0 0 12.4
"2019-01-31" 0.364 0 0 12.3
"2019-02-01" 0.373 0 0 14.1
"2019-02-02" 0.371 0 0 14.6
"2019-02-03" 0.419 0 0 14.4
"2019-02-04" 0.445 0 0 14
"2019-02-05" 0.402 0.2 0 14
"2019-02-06" 0.361 0 0 13.3
"2019-02-07" 0.369 0 0 13.3
"2019-02-08" 0.403 0 0 13.3
"2019-02-09" 0.361 0 0 12.5
"2019-02-10" 0.345 0 0 12.1
"2019-02-11" 0.397 0 0 13.3
"2019-02-12" 0.341 0 0 9.5
"2019-02-13" 0.35 0 0 9.2
"2019-02-14" 0.352 0 0 9.5
"2019-02-15" 0.355 0 0 10.1
"2019-02-16" 0.322 0 0 10
"2019-02-17" 0.29 0 0 10.4
"2019-02-18" 0.374 0 0 11.8
"2019-02-19" 0.343 0 0 11.9
"2019-02-20" 0.314 0 0 10.5
"2019-02-21" 0.363 0 0 11.9
"2019-02-22" 0.319 0 0 12.1
"2019-02-23" 0.372 0 0 12.9
"2019-02-24" 0.449 0 0 13.5
"2019-02-25" 0.405 0 0 12.3
"2019-02-26" 0.362 0 0 11.9
"2019-02-27" 0.361 0 0 11.4
"2019-02-28" 0.404 0 0 11.6
"2019-03-01" 0.478 0 0 12.7
"2019-03-02" 0.416 0 0 13
"2019-03-03" 0.361 0 0 12.1
"2019-03-04" 0.355 0 0 11.7
"2019-03-05" 0.351 0 0 12.1
"2019-03-06" 0.407 0 0 12.5
"2019-03-07" 0.431 0 0 12.8
"2019-03-08" 0.469 0 0 12.4
"2019-03-09" 0.445 0 0 11.8
"2019-03-10" 0.363 0 0 10.6
"2019-03-11" 0.315 0 0 8.1
"2019-03-12" 0.35 0 0 9.1
"2019-03-13" 0.325 0 0 9.1
"2019-03-14" 0.329 0 0 10
"2019-03-15" 0.325 0 0 9.4
"2019-03-16" 0.445 0 0 11.4
"2019-03-17" 0.398 0 0 11.3
"2019-03-18" 0.473 0 0 10.8
"2019-03-19" 0.389 0 0 10.3
"2019-03-20" 0.406 0 0 11.2
"2019-03-21" 0.377 0 0 10.1
"2019-03-22" 0.374 0 0 9.6
"2019-03-23" 0.322 0 0 8.9
"2019-03-24" 0.348 0 0 9.8
"2019-03-25" 0.396 0 0 10.9
"2019-03-26" 0.348 0 0 9.7
"2019-03-27" 0.449 0 0 10.7
"2019-03-28" 0.334 0 0 9.4
"2019-03-29" 0.514 0 0 10.2
"2019-03-30" 0.525 0 0 10.8
"2019-03-31" 0.397 0 0 10
"2019-04-01" 0.417 0 0 9.5
"2019-04-02" 0.368 0 0 9
"2019-04-03" 0.363 0 0 9.5
"2019-04-04" 0.29 0 0 9.2
"2019-04-05" 0.322 0 0 9.6
"2019-04-06" 0.319 0 0 9
"2019-04-07" 0.467 0 0 11.3
"2019-04-08" 0.429 0 0 10.8
"2019-04-09" 0.546 0 0 10.7
"2019-04-10" 0.432 0 0 10.3
"2019-04-11" 0.48 0 0 9.7
"2019-04-12" 0.383 0 0 8.9
"2019-04-13" 0.381 0 0 8.6
"2019-04-14" 0.379 0 0 7.2
"2019-04-15" 0.309 0 0 4.8
"2019-04-16" 0.434 0 0 9.7
"2019-04-17" 0.474 0 0 10.1
"2019-04-18" 0.469 0 0 10.1
"2019-04-19" 0.462 0 0 9.6
"2019-04-20" 0.464 0 0 9.5
"2019-04-21" 0.455 0 0 9.1
"2019-04-22" 0.45 0 0 8.8
"2019-04-23" 0.478 0 0 7.2
"2019-04-24" 0.424 0 0 7.3
"2019-04-25" 0.373 0 0 8
"2019-04-26" 0.399 0 0 9.4
"2019-04-27" 0.348 0 0 8.2
"2019-04-28" 0.451 0 0 6.3
"2019-04-29" 0.575 0 0 10.3
"2019-04-30" 0.507 0 0 10
"2019-05-01" 0.369 0 0 8
"2019-05-02" 0.442 0 0 8.6
"2019-05-03" 0.543 0 0 8.1
"2019-05-04" 0.535 0 0 9.7
"2019-05-05" 0.2 0 0 2.1
"2019-05-06" 0.373 0 0 8
"2019-05-07" 0.471 0 0 9.2
"2019-05-08" 0.652 0 0 8.9
"2019-05-09" 0.464 0 0 6
"2019-05-10" 0.462 0 0 4.1
"2019-05-11" 0.405 0 0 6.8
"2019-05-12" 0.193 0 0 -2.2
"2019-05-13" 0.425 0 0 7
"2019-05-14" 0.187 0 0 -3.5
"2019-05-15" 0.338 0 0 3.7
"2019-05-16" 0.502 0 0 3.7
"2019-05-17" 0.515 0 0 6.8
"2019-05-18" 0.388 0 0 5.4
"2019-05-19" 0.54 0 0 7.8
"2019-05-20" 0.394 0 0 5.2
"2019-05-21" 0.321 0 0 3.3
"2019-05-22" 0.149 0 0 -6.8
"2019-05-23" 0.021 0 0 -25
"2019-05-24" 0.023 0 0 -25.4
"2019-05-25" 0.595 0 0 6.8
"2019-05-26" 0.489 0 0 6.5
"2019-05-27" 0.422 0 0 6.1
"2019-05-28" 0.231 0 0 1.7
"2019-05-29" 0.361 0 0 4
"2019-05-30" 0.337 0 0 4.9
"2019-05-31" 0.333 0 0 2.9
"2019-06-01" 0.378 0 0 6.8
"2019-06-02" 0.1 0 0 -6.8
"2019-06-03" 0.043 0 0 -17.1
"2019-06-04" 0.262 0 0 -2.1
"2019-06-05" 0.451 0 0 5.8
"2019-06-06" 0.374 0 0 1.5
"2019-06-07" 0.226 0 0 -3.2
"2019-06-08" 0.492 0 0 5.4
"2019-06-09" 0.536 0 0 2
"2019-06-10" 0.09 0 0 -10.5
"2019-06-11" 0.62 0 0 6.6
"2019-06-12" 0.429 0 0 4.2
"2019-06-13" 0.385 0 0 3.8
"2019-06-14" 0.259 0 0 0.3
"2019-06-15" 0.369 0 0 1.8
"2019-06-16" 0.216 0 0 -2.3
"2019-06-17" 0.155 0 0 -8
"2019-06-18" 0.054 0 0 -17.1
"2019-06-19" 0.026 0 0 -21.5
"2019-06-20" 0.462 0 0 6
"2019-06-21" 0.441 0 0 6.7
"2019-06-22" 0.068 0 0 -13.2
"2019-06-23" 0.488 0 0 5.8
"2019-06-24" 0.574 0 0 7.1
"2019-06-25" 0.488 0 0 7.5
"2019-06-26" 0.429 0 0 5.2
"2019-06-27" 0.539 0 0 6.1
"2019-06-28" 0.499 0 0 5.4
"2019-06-29" 0.313 0 0 3.3
"2019-06-30" 0.371 0 0 0.5
"2019-07-01" 0.388 0 0 5.5
"2019-07-02" 0.413 0 0 4.5
"2019-07-03" 0.34 0 0 3.3
"2019-07-04" 0.433 0 0 3.7
"2019-07-05" 0.554 0 0 5.3
"2019-07-06" 0.496 0 0 6.1
"2019-07-07" 0.76 0 0 7
"2019-07-08" 0.58 0 0 7.9
"2019-07-09" 0.512 0 0 5.7
"2019-07-10" 0.44 0 0 4.3
"2019-07-11" 0.393 0 0 4
"2019-07-12" 0.255 0 0 -0.8
"2019-07-13" 0.186 0 0 -5.2
"2019-07-14" 0.187 0 0 -8
"2019-07-15" 0.355 0 0 -4.5
"2019-07-16" 0.479 0 0 5.6
"2019-07-17" 0.486 0 0 4
"2019-07-18" 0.22 0 0 0.3
"2019-07-19" 0.049 0 0 -16.1
"2019-07-20" 0.222 0 0 -6.2
"2019-07-21" 0.644 0 0 7.2
"2019-07-22" 0.542 0 0 6.6
"2019-07-23" 0.484 0 0 3
"2019-07-24" 0.347 0 0 0.2
"2019-07-25" 0.315 0 0 1
"2019-07-26" 0.09 0 0 -10.4
"2019-07-27" 0.149 0 0 -12.2
"2019-07-28" 0.366 0 0 2.7
"2019-07-29" 0.089 0 0 -12.1
"2019-07-30" 0.028 0 0 -18.5
"2019-07-31" 0.404 0 0 5.3
"2019-08-01" 0.437 0 0 6.3
"2019-08-02" 0.081 0 0 -10.1
"2019-08-03" 0.013 0 0 -28.4
"2019-08-04" 0.23 0 0 -6.1
"2019-08-05" 0.315 0 0 2.6
"2019-08-06" 0.417 0 0 3.6
"2019-08-07" 0.435 0 0 5.5
"2019-08-08" 0.472 0 0 4.6
"2019-08-09" 0.363 0 0 1.6
"2019-08-10" 0.223 0 0 -4.8
"2019-08-11" 0.368 0 0 4.9
"2019-08-12" 0.053 0 0 -13.7
"2019-08-13" 0.017 0 0 -22.7
"2019-08-14" 0.339 0 0 5.5
"2019-08-15" 0.46 0 0 7.9
"2019-08-16" 0.55 0 0 5.8
"2019-08-17" 0.288 0 0 2.4
"2019-08-18" 0.359 0 0 4.1
"2019-08-19" 0.291 0 0 1
"2019-08-20" 0.147 0 0 -4.4
"2019-08-21" 0.481 0 0 6.5
"2019-08-22" 0.087 0 0 -8.3
"2019-08-23" 0.458 0 0 7.5
"2019-08-24" 0.46 0 0 6
"2019-08-25" 0.237 0 0 4.1
"2019-08-26" 0.07 0 0 -8.8
"2019-08-27" 0.063 0 0 -9.4
"2019-08-28" 0.443 0 0 8.7
"2019-08-29" 0.389 0 0 6.3
"2019-08-30" 0.425 0 0 7.8
"2019-08-31" 0.453 0 0 7.5
"2019-09-01" 0.359 0 0 6.6
"2019-09-02" 0.489 0 0 7.3
"2019-09-03" 0.372 0 0 5.5
"2019-09-04" 0.373 0 0 5.7
"2019-09-05" 0.346 0 0 4.5
"2019-09-06" 0.314 0 0 1.9
"2019-09-07" 0.338 0 0 4.2
"2019-09-08" 0.424 0 0 5.6
"2019-09-09" 0.416 0 0 5.4
"2019-09-10" 0.406 0 0 3.8
"2019-09-11" 0.307 0 0 2.8
"2019-09-12" 0.199 0 0 -2.3
"2019-09-13" 0.404 0 0 6.5
"2019-09-14" 0.29 0 0 4.8
"2019-09-15" 0.421 0 0 6.2
"2019-09-16" 0.322 0 0 3.8
"2019-09-17" 0.313 0 0 -1.3
"2019-09-18" 0.268 0 0 -0.2
"2019-09-19" 0.306 0 0 2.4
"2019-09-20" 0.266 0 0 3
"2019-09-21" 0.345 0 0 2.1
"2019-09-22" 0.41 0 0 7.7
"2019-09-23" 0.25 0 0 3.8
"2019-09-24" 0.396 0 0 6.5
"2019-09-25" 0.493 0 0 6.3
"2019-09-26" 0.314 0 0 6
"2019-09-27" 0.344 0 0 6.2
"2019-09-28" 0.372 0 0 6.6
"2019-09-29" 0.428 0 0 7.9
"2019-09-30" 0.419 0 0 7.5
"2019-10-01" 0.407 0 0 6.2
"2019-10-02" 0.307 0 0 5.2
"2019-10-03" 0.339 0 0 4.4
"2019-10-04" 0.367 0 0 4.9
"2019-10-05" 0.328 0 0 5.3
"2019-10-06" 0.232 0 0 1.8
"2019-10-07" 0.303 0 0 -1.7
"2019-10-08" 0.238 0 0 5.1
"2019-10-09" 0.375 0 0 8
"2019-10-10" 0.431 0 0 7.7
"2019-10-11" 0.444 0 0 8.5
"2019-10-12" 0.447 0 0 8.6
"2019-10-13" 0.456 0 0 7.4
"2019-10-14" 0.398 0 0 6.4
"2019-10-15" 0.24 0 0 5.5
"2019-10-16" 0.386 0 0 7.4
"2019-10-17" 0.328 0 0 6.1
"2019-10-18" 0.376 0 0 7.3
"2019-10-19" 0.482 0 0 6.9
"2019-10-20" 0.3 0 0 5
"2019-10-21" 0.192 0 0 2.3
"2019-10-22" 0.39 0 0 7.9
"2019-10-23" 0.303 0 0 7.3
"2019-10-24" 0.376 0 0 8.4
"2019-10-25" 0.193 0 0 1.8
"2019-10-26" 0.402 0 0 8.3
"2019-10-27" 0.364 0 0 7.6
"2019-10-28" 0.347 0 0 7
"2019-10-29" 0.278 0 0 5.6
"2019-10-30" 0.19 0 0 1
"2019-10-31" 0.305 0 0 4.9
"2019-11-01" 0.341 0 0 8.2
"2019-11-02" 0.363 0 0 7.5
"2019-11-03" 0.519 0 0 10.1
"2019-11-04" 0.343 0 0 8.3
"2019-11-05" 0.35 0 0 8.6
"2019-11-06" 0.354 0 0 9.7
"2019-11-07" 0.369 0 0 9.6
"2019-11-08" 0.416 0 0 10
"2019-11-09" 0.372 0 0 10.2
"2019-11-10" 0.371 0 0 10.2
"2019-11-11" 0.283 0 0 7.7
